                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7562,                  1.584,                 2.0988,                0.64375,                0.39684,                0.50618,                0.22759,                 1.9452,                 2.2523,                 2.6674,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7517,                 1.5827,                 2.1038,                0.46992,                0.39024,                0.45309,                0.22667,                 1.7682,                 2.1716,                 2.5308,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7276,                 1.5946,                 2.1399,                0.54858,                0.46341,                0.50224,                0.26335,                 1.8006,                 2.0965,                 2.5831,               0.000713,               0.000713,               0.000713
                     67,                 1.7205,                 1.5308,                 2.0758,                0.59652,                0.53659,                 0.5882,                 0.2915,                 1.8443,                 2.0156,                  2.558,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7232,                 1.5674,                 2.0733,                0.78934,                0.41463,                0.57168,                 0.3078,                 1.8857,                 1.9882,                 2.5785,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6696,                 1.5141,                 2.0374,                0.82086,                0.41463,                0.54858,                0.30693,                 1.8413,                 2.0077,                 2.5366,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6917,                   1.53,                 2.0726,                0.38914,                0.56098,                0.45937,                0.23365,                 1.8327,                 2.2175,                 2.5168,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.7321,                  1.564,                 2.0747,                0.64805,                0.43902,                0.54356,                0.26411,                  1.879,                  2.146,                 2.5355,               0.000614,               0.000614,               0.000614
                     72,                 1.7514,                 1.5927,                 2.0627,                0.61157,                0.43902,                0.55933,                0.28474,                 1.8024,                 2.0633,                 2.5276,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6685,                   1.48,                 2.0095,                0.83036,                 0.4878,                0.60853,                0.31191,                  1.781,                 2.0168,                  2.512,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6647,                 1.4963,                 2.0054,                0.67183,                 0.4878,                0.57684,                0.28726,                 1.8343,                 2.0011,                 2.5461,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6097,                   1.42,                 1.9976,                0.81677,                0.46341,                0.62139,                0.29693,                 1.8408,                 1.9278,                 2.5198,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6351,                 1.4357,                 2.0116,                0.73947,                0.46341,                0.62386,                0.30125,                 1.8391,                 1.9441,                   2.51,               0.000515,               0.000515,               0.000515
                     77,                 1.6142,                 1.4301,                 2.0051,                0.69873,                 0.5122,                0.61925,                0.31131,                  1.815,                 1.9572,                 2.4847,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6806,                 1.4837,                 2.0248,                0.73761,                0.46341,                 0.6235,                0.31231,                 1.8448,                 1.9372,                 2.4893,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6229,                 1.4621,                 1.9977,                0.82846,                0.41463,                0.59507,                 0.3023,                 1.9032,                 2.0538,                 2.5836,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6338,                 1.4571,                 1.9757,                0.87655,                0.43902,                0.58631,                0.30237,                 1.8505,                 1.9643,                 2.5237,              0.0004358,              0.0004358,              0.0004358
